tempo,potencia
441,3.7316131482914e-09
442,3.7199475442713e-09
443,3.7188205992482e-09
444,3.7068779803002e-09
445,3.705725013768e-09
446,3.6935142051323e-09
447,3.6923360565839e-09
448,3.6798658189669e-09
449,3.6786633213471e-09
450,3.6659423429905e-09
451,3.6647163219683e-09
452,3.6517532113357e-09
453,3.6505044846351e-09
454,3.6373077636849e-09
455,3.6360371404694e-09
456,3.6226152384859e-09
457,3.6213235187957e-09
458,3.6076847667506e-09
459,3.6063727409883e-09
460,3.5925253664046e-09
461,3.5911938148686e-09
462,3.5771459371612e-09
463,3.5757956296226e-09
464,3.5615552558921e-09
465,3.5601869512137e-09
466,3.5457619724674e-09
467,3.5443764182631e-09
468,3.5297746060399e-09
469,3.5283725383707e-09
470,3.5136015417504e-09
471,3.5121836848569e-09
472,3.4972510278293e-09
473,3.4958180938969e-09
474,3.480731173072e-09
475,3.4792838620276e-09
476,3.4640499446679e-09
477,3.4625889440072e-09
478,3.447215166361e-09
479,3.4457411510033e-09
480,3.4302345169235e-09
481,3.4287481490927e-09
482,3.4131155289226e-09
483,3.4116174580529e-09
484,3.3958655877632e-09
485,3.3943564504285e-09
486,3.3784919309891e-09
487,3.3769723508535e-09
488,3.3610016478257e-09
489,3.3594722356148e-09
490,3.3434016789497e-09
491,3.3418630324407e-09
492,3.3256988164703e-09
493,3.3241515204996e-09
494,3.3078997041063e-09
495,3.3063443305942e-09
496,3.2900108375488e-09
497,3.2884479455395e-09
498,3.272038564993e-09
499,3.2704687007082e-09
500,3.2539890878293e-09
501,3.2524127847355e-09
502,3.2358684614812e-09
503,3.2342862403701e-09
504,3.2176825963789e-09
505,3.2160949654571e-09
506,3.199437259058e-09
507,3.1978447140495e-09
508,3.1811380733741e-09
509,3.1795410976302e-09
510,3.1627905218222e-09
511,3.1611895864424e-09
512,3.144399946955e-09
513,3.1427955109139e-09
514,3.1259715528871e-09
515,3.1243640631698e-09
516,3.1075104068819e-09
517,3.1059002986258e-09
518,3.0890214410106e-09
519,3.0874091376532e-09
520,3.0705094538766e-09
521,3.0688953673087e-09
522,3.0519791123994e-09
523,3.0503636431229e-09
524,3.0334349536509e-09
525,3.0318184909414e-09
526,3.0148813867387e-09
527,3.0132643088116e-09
528,2.9963226947302e-09
529,2.9947053689098e-09
530,2.9777630366117e-09
531,2.9761458195039e-09
532,2.9592064492798e-09
533,2.9575896869465e-09
534,2.9406568495568e-09
535,2.939040877693e-09
536,2.9221180362294e-09
537,2.9205031803417e-09
538,2.903593692104e-09
539,2.9019802676897e-09
540,2.885087386075e-09
541,2.8834756988037e-09
542,2.866602575205e-09
543,2.8649929211001e-09
544,2.8481426068091e-09
545,2.8465352724293e-09
546,2.8297107205445e-09
547,2.8281059831659e-09
548,2.8113100504997e-09
549,2.8097081782983e-09
550,2.7929436272816e-09
551,2.7913448795145e-09
552,2.7746143800978e-09
553,2.7730190072846e-09
554,2.7563251388318e-09
555,2.7547333829348e-09
556,2.7380786361086e-09
557,2.7364907307128e-09
558,2.7198775093492e-09
559,2.7182936798397e-09
560,2.7017243028115e-09
561,2.7001447665518e-09
562,2.6836214696167e-09
563,2.682046436124e-09
564,2.665571373758e-09
565,2.6640010448772e-09
566,2.6475762920931e-09
567,2.6460108621699e-09
568,2.6296384163157e-09
569,2.628078072367e-09
570,2.6117598549071e-09
571,2.6102047767908e-09
572,2.5939426350658e-09
573,2.5923929956475e-09
574,2.576188704616e-09
575,2.5746446699335e-09
576,2.5584999338893e-09
577,2.5569616633165e-09
578,2.5408781175857e-09
579,2.5393457639932e-09
580,2.5233249766073e-09
581,2.5217986865206e-09
582,2.5058421598663e-09
583,2.504322073623e-09
584,2.4884312460684e-09
585,2.4869174979712e-09
586,2.4710937454672e-09
587,2.4695864639365e-09
588,2.4538311015941e-09
589,2.4523304093168e-09
590,2.4366446929576e-09
591,2.4351507070344e-09
592,2.4195358347178e-09
593,2.4180486668071e-09
594,2.4025057803311e-09
595,2.4010255367919e-09
596,2.3855557231668e-09
597,2.3840825051974e-09
598,2.3686867980968e-09
599,2.3672207018721e-09
600,2.3519000830544e-09
601,2.350441199861e-09
602,2.3351966005673e-09
603,2.3337450169351e-09
604,2.3185773192604e-09
605,2.3171331170927e-09
606,2.302043155331e-09
607,2.3006064120311e-09
608,2.285594973995e-09
609,2.2841657625915e-09
610,2.2692335909056e-09
611,2.2678119801743e-09
612,2.2529597735437e-09
613,2.251545828127e-09
614,2.2367742425788e-09
615,2.2353680231048e-09
616,2.2206776732055e-09
617,2.2192792364007e-09
618,2.2046706964491e-09
619,2.2032800952527e-09
620,2.1887539004451e-09
621,2.1873711841182e-09
622,2.1729278316917e-09
623,2.171553045926e-09
624,2.1571929962765e-09
625,2.1558261832986e-09
626,2.1415498610735e-09
627,2.1401910597497e-09
628,2.1259988549174e-09
629,2.1246481008535e-09
630,2.11054036975e-09
631,2.1091976953903e-09
632,2.0951747617405e-09
633,2.0938401964645e-09
634,2.0799023523828e-09
635,2.0785759225994e-09
636,2.0647234295645e-09
637,2.0634051588043e-09
638,2.049638248615e-09
639,2.0483281576195e-09
640,2.0346470333253e-09
641,2.0333451401359e-09
642,2.019749976948e-09
643,2.0184562969912e-09
644,2.0049472431693e-09
645,2.0036617893407e-09
646,1.9902389670633e-09
647,1.9889617498092e-09
648,1.9756252560167e-09
649,1.9743562834144e-09
650,1.9611061906385e-09
651,1.9598454684736e-09
652,1.9466818256403e-09
653,1.9454293574835e-09
654,1.9323521907015e-09
655,1.9311079779812e-09
656,1.9181172913076e-09
657,1.916881333384e-09
658,1.9039771095721e-09
659,1.9027494038063e-09
660,1.8899316050344e-09
661,1.8887121468582e-09
662,1.8759807154404e-09
663,1.8747694984225e-09
664,1.8621243575011e-09
665,1.8609213734119e-09
666,1.8483624276325e-09
667,1.8471676665087e-09
668,1.8346948026761e-09
669,1.8335082528829e-09
670,1.8211213406038e-09
671,1.8199429888939e-09
672,1.8076418811992e-09
673,1.8064717127717e-09
674,1.7942562467234e-09
675,1.793094245283e-09
676,1.7809642425671e-09
677,1.7798103903775e-09
678,1.7677656578787e-09
679,1.766619935817e-09
680,1.7546602661795e-09
681,1.7535226537912e-09
682,1.7416478259625e-09
683,1.7405183015103e-09
684,1.7287280812749e-09
685,1.7276066217892e-09
686,1.7159007622821e-09
687,1.7147873436114e-09
688,1.7031655858211e-09
689,1.7020601826766e-09
690,1.6905222559337e-09
691,1.6894248419375e-09
692,1.6779704643897e-09
693,1.6768810121185e-09
694,1.6655098911919e-09
695,1.6644283722202e-09
696,1.6531402050685e-09
697,1.6520665900111e-09
698,1.6408610639524e-09
699,1.6397953225058e-09
700,1.6286721154457e-09
701,1.6276142164281e-09
702,1.6165729972716e-09
703,1.6155229086607e-09
704,1.6045633377149e-09
705,1.6035210266869e-09
706,1.5926427560455e-09
707,1.5916081890108e-09
708,1.5808108629367e-09
709,1.5797840055743e-09
710,1.5690672608628e-09
711,1.5680480781586e-09
712,1.5574115444948e-09
713,1.5564000007704e-09
714,1.5458433010748e-09
715,1.5448393600236e-09
716,1.5343621107876e-09
717,1.533365735504e-09
718,1.5229675471157e-09
719,1.5219787001276e-09
720,1.5116591771879e-09
721,1.5106778204843e-09
722,1.5004365621124e-09
723,1.4994626571744e-09
724,1.4892992573066e-09
725,1.4883327651346e-09
726,1.4782468128111e-09
727,1.4772876939505e-09
728,1.4672787735976e-09
729,1.466326988167e-09
730,1.4563946798639e-09
731,1.4554501875807e-09
732,1.4455940673273e-09
733,1.4446568275294e-09
734,1.4348764674976e-09
735,1.4339464391716e-09
736,1.4242414079523e-09
737,1.4233185497533e-09
738,1.4136884125974e-09
739,1.4127726828728e-09
740,1.4032170019216e-09
741,1.4023083587332e-09
742,1.392826693242e-09
743,1.3919250943864e-09
744,1.3825170009425e-09
745,1.381622403972e-09
746,1.3722874367052e-09
747,1.3713997989467e-09
748,1.3621375097326e-09
749,1.3612567883079e-09
750,1.3520667269638e-09
751,1.3511928788071e-09
752,1.3420745932837e-09
753,1.3412075751602e-09
754,1.3321606117256e-09
755,1.3313003802481e-09
756,1.3223242836658e-09
757,1.3214707953119e-09
758,1.3125651090134e-09
759,1.3117183201417e-09
760,1.3028825863923e-09
761,1.3020424532576e-09
762,1.2932762133186e-09
763,1.2924426920875e-09
764,1.2837454863705e-09
765,1.2829185331359e-09
766,1.2742899013534e-09
767,1.2734694721485e-09
768,1.2649089534594e-09
769,1.2640950042709e-09
770,1.2556021374206e-09
771,1.2547946242021e-09
772,1.2463689476567e-09
773,1.2455678263423e-09
774,1.2372088784193e-09
775,1.2364141049339e-09
776,1.2281214239296e-09
777,1.2273329542031e-09
778,1.2191060785116e-09
779,1.2183238684878e-09
780,1.2101623367193e-09
781,1.2093863423684e-09
782,1.201289693462e-09
783,1.2005198707916e-09
784,1.192487644123e-09
785,1.1917239491866e-09
786,1.1837556846737e-09
787,1.1829980735816e-09
788,1.1750933117851e-09
789,1.1743417407136e-09
790,1.1665000229334e-09
791,1.165754448134e-09
792,1.1579753165026e-09
793,1.1572356943105e-09
794,1.1495186918832e-09
795,1.1487849787256e-09
796,1.1411296495658e-09
797,1.1404018019709e-09
798,1.1328076912341e-09
799,1.1320856658375e-09
800,1.1245523198502e-09
801,1.123836073403e-09
802,1.1163630397389e-09
803,1.115652529115e-09
804,1.1082393566688e-09
805,1.1075345388716e-09
806,1.1001807779292e-09
807,1.0994816100982e-09
808,1.0921868124034e-09
809,1.0914932518209e-09
810,1.0842569706413e-09
811,1.083568974737e-09
812,1.0763907649257e-09
813,1.0757082912839e-09
814,1.0685877093373e-09
815,1.0679107157021e-09
816,1.0608473198179e-09
817,1.0601757640983e-09
818,1.053169114229e-09
819,1.052502954504e-09
820,1.0455526124083e-09
821,1.0448918069317e-09
822,1.0379973362252e-09
823,1.0373418434307e-09
824,1.0305028096307e-09
825,1.0298525881353e-09
826,1.0230685587082e-09
827,1.0224235673166e-09
828,1.0156941117184e-09
829,1.0150543094283e-09
830,1.0083789991467e-09
831,1.0077443451504e-09
832,1.0011227537421e-09
833,1.000493207432e-09
834,9.9392491056014e-10
835,9.9330043153141e-10
836,9.8678500700033e-10
837,9.8616555505385e-10
838,9.7970258284123e-10
839,9.7908811798701e-10
840,9.7267718027652e-10
841,9.7206766273584e-10
842,9.6570834394446e-10
843,9.6510373415422e-10
844,9.5879562096096e-10
845,9.5819587957503e-10
846,9.519385609476e-10
847,9.5134364883889e-10
848,9.4513671605737e-10
849,9.4454659432118e-10
850,9.3838964100092e-10
851,9.3780427095663e-10
852,9.3169689307067e-10
853,9.3111623626306e-10
854,9.2505803216139e-10
855,9.2448205036353e-10
856,9.184726207921e-10
857,9.179012760067e-10
858,9.1194022412474e-10
859,9.1137347858539e-10
860,9.054604099816e-10
861,9.0489822615469e-10
862,8.9903274886229e-10
863,8.9847508944823e-10
864,8.9265681395849e-10
865,8.9210364189258e-10
866,8.8633218116727e-10
867,8.8578345962207e-10
868,8.800584291039e-10
869,8.7951412148864e-10
870,8.7383513911382e-10
871,8.7329520907622e-10
872,8.676618952818e-10
873,8.6712630670844e-10
874,8.615382844409e-10
875,8.6100700145884e-10
876,8.5546389618159e-10
877,8.549368831584e-10
878,8.4943832285805e-10
879,8.4891554440223e-10
880,8.4346115959353e-10
881,8.4294258055526e-10
882,8.3753200428602e-10
883,8.3701758975739e-10
884,8.3165045761245e-10
885,8.3114017292777e-10
886,8.2581612303063e-10
887,8.2530993376696e-10
888,8.200286067832e-10
889,8.1952647876026e-10
890,8.1428751789794e-10
891,8.1378941717796e-10
892,8.0859246818809e-10
893,8.0809836107606e-10
894,8.0294307225289e-10
895,8.0245292529713e-10
896,7.9733894747727e-10
897,7.9685272746731e-10
898,7.9177971402764e-10
899,7.9129738799729e-10
900,7.8626499485297e-10
901,7.8578653007707e-10
902,7.8079441567937e-10
903,7.8031977967442e-10
904,7.753676050069e-10
905,7.7489676553178e-10
906,7.6998419410593e-10
907,7.6951711916023e-10
908,7.6464381701157e-10
909,7.6418047483584e-10
910,7.5934611051897e-10
911,7.5888646959348e-10
912,7.5409071417624e-10
913,7.5363474322117e-10
914,7.4887727027893e-10
915,7.4842493825365e-10
916,7.4370542386253e-10
917,7.4325669996474e-10
918,7.3857482269509e-10
919,7.381296763602e-10
920,7.3348511726884e-10
921,7.3304351816919e-10
922,7.2843596079272e-10
923,7.2799787883715e-10
924,7.2342700918198e-10
925,7.2299241451486e-10
926,7.1845792105098e-10
927,7.1802678405076e-10
928,7.1352835770109e-10
929,7.1310064898007e-10
930,7.0863798311235e-10
931,7.0821367351643e-10
932,7.037864639327e-10
933,7.0336552453953e-10
934,6.9897346946752e-10
935,6.9855587158497e-10
936,6.9419867166693e-10
937,6.9378438683406e-10
938,6.8946174511692e-10
939,6.8905074510081e-10
940,6.8476236702566e-10
941,6.8435462382198e-10
942,6.8010021721207e-10
943,6.7969570304378e-10
944,6.754749780947e-10
945,6.7507366540946e-10
946,6.708863346769e-10
947,6.7048819614828e-10
948,6.6633397453665e-10
949,6.6593898306092e-10
950,6.6181758781163e-10
951,6.6142571650788e-10
952,6.5733686718667e-10
953,6.5694808939608e-10
954,6.5289150788146e-10
955,6.5250579716422e-10
956,6.4848120763451e-10
957,6.480985377708e-10
958,6.4410566669219e-10
959,6.4372601167869e-10
960,6.397645877923e-10
961,6.3938792184355e-10
962,6.3545767615143e-10
963,6.3508397369649e-10
964,6.3118463945042e-10
965,6.3081387513267e-10
966,6.2694518781975e-10
967,6.2657733649507e-10
968,6.2273903382483e-10
969,6.2237407056069e-10
970,6.1856589245126e-10
